LineId,Content,EventId,EventTemplate
41,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/AMP4_NTK830DA/*boot*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
42,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/AMP4_NTK830DA/*bld*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
43,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/AMP4_NTK830DA/*BASE*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
44,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/AMP4_NTK830DA/*SWD': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
45,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/AMP4_NTK830DA/*load': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
46,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/AMP4_NTK830DA/*tar': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
47,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/AMP4_NTK830DA/*sym': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
48,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/AMP4_NTK830DA/*sim': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
49,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/AMP4_NTK830DA/*elf': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
50,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/AMP4_NTK830DA/*map': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
51,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/AMP8_NTK830CA/*boot*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
52,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/AMP8_NTK830CA/*bld*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
53,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/AMP8_NTK830CA/*BASE*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
54,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/AMP8_NTK830CA/*SWD': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
55,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/AMP8_NTK830CA/*load': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
56,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/AMP8_NTK830CA/*tar': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
