,HDFS,Hadoop,Spark,Zookeeper,BGL,HPC,Thunderbird,Windows,Linux,Andriod,HealthApp,Apache,Proxifier,OpenSSH,OpenStack,Mac
F1_measure,0.9999843025834023,0.9993494765508519,0.5078446180836153,0.9984131553794954,0.999290974609752,0.9779943684186579,0.9986711445550223,0.9127088930376577,0.7337801515684013,0.8813405450339348,0.7820801885969418,1.0,0.7426062817645156,0.9975895788058106,0.7267982838537433,0.939596836109772
Accuracy,0.9975,0.955,0.418,0.839,0.949,0.8245,0.654,0.4065,0.28,0.6355,0.323,1.0,0.0,0.54,0.213,0.6465
