,HDFS,Hadoop,Spark,Zookeeper,BGL,HPC,Thunderbird,Windows,Linux,Andriod,HealthApp,Apache,Proxifier,OpenSSH,OpenStack,Mac
Precision,1.0,0.9927799715368117,0.9838821564349298,0.999080590812344,0.9982210038204672,0.9577772721426946,0.9997751570418626,0.9892701389465144,0.9886203770281677,0.907132988679918,0.9599654782857447,1.0,1.0,0.9965803365707119,0.8332763752618234,0.9412201627333806
Recall,1.0,1.0,1.0,0.9998435810733098,1.0,0.9998863941503315,0.9976491331178372,0.9999650509324411,0.9408004474477035,0.995135366375359,0.9562609275233523,1.0,0.647986127095986,0.9985972192794675,1.0,0.9736998358422688
F1 Measure,1.0,0.9963769063487625,0.9918756043483781,0.9994619403259629,0.9991097099989784,0.9783789519425594,0.998711013628273,0.9945888449095746,0.9641178132475879,0.9490986028781758,0.9581096219873069,1.0,0.7863975508554076,0.9975877585130958,0.909057015631718,0.9571845493562231
Accuracy,1.0,0.954,0.92,0.9615,0.939,0.829,0.663,0.563,0.6715,0.7115,0.8215,1.0,0.5165,0.54,0.3305,0.6705
