,HDFS,Hadoop,Spark,Zookeeper,BGL,HPC,Thunderbird,Windows,Linux,Andriod,HealthApp,Apache,Proxifier,OpenSSH,OpenStack,Mac
F1_measure,0.989947956097619,0.882713164839762,0.9918717292061018,0.9994803450876515,0.31030409340696985,0.7113119526425412,0.9936614974983754,0.9002595618964162,0.8087185656856128,0.698518876518868,0.7149036258667563,0.6672008058799994,0.4681031377783427,0.9989891211923261,0.6841279263402267,0.8457003048291353
Accuracy,0.9,0.6045,0.918,0.9625,0.472,0.41,0.828,0.708,0.046,0.1595,0.267,0.0,0.0025,0.925,0.1215,0.409
