,HDFS,Hadoop,Spark,Zookeeper,BGL,HPC,Thunderbird,Windows,Linux,Andriod,HealthApp,Apache,Proxifier,OpenSSH,OpenStack,Mac
Precision,0.9977133818065067,0.9968500621485167,0.7261481672246545,0.9999905264454276,0.9418188711087739,1.0,0.9989314499310805,0.9999906801835072,0.8857998146203675,0.8133119325876511,0.9840766972416195,1.0,1.0,1.0,0.9999509202453988,0.9704697528335382
Recall,0.9999686056596148,0.9942134677197914,0.9995627821236972,0.9712327191590182,1.0,0.9526521801995332,0.9986180714949449,0.9999836904351392,0.9988893142110263,0.9909552038134817,0.8596495464775944,1.0,0.56143208739841,0.6338194358191289,0.988333454607194,0.9928748559253956
F1 Measure,0.9988397207490074,0.995530019226376,0.8411961256190458,0.9854018516660094,0.9700378187909953,0.9757520462268767,0.9987747361313833,0.9999871852971091,0.9389516348545242,0.893388429752066,0.9176645278709402,1.0,0.7191245676702387,0.7758745206765866,0.9941082472340478,0.9815444642024758
Accuracy,0.8505,0.8695,0.5755,0.6875,0.7245,0.784,0.9185,0.9925,0.6115,0.504,0.6865,1.0,0.5165,0.4305,0.743,0.876
